09:19:48 INFO  - Executed action GD.API.Controllers.Utility.ArticleController.GetArticleTypeAsync (API) in 105ms
09:19:49 INFO  - Executed action GD.API.Controllers.Utility.ArticleController.GetArticleListAsync (API) in 148ms
09:20:09 INFO  - Executed action GD.API.Controllers.Utility.ArticleController.GetArticleInfoAsync (API) in 121ms
09:22:12 INFO  - Executed action GD.API.Controllers.Utility.ArticleController.GetArticleInfoAsync (API) in 98ms
09:22:16 INFO  - Executed action GD.API.Controllers.System.BannerController.GetBannerType1 (API) in 67ms
09:22:16 INFO  - Executed action GD.API.Controllers.System.BannerController.GetBannerPageAsync (API) in 127ms
09:22:23 INFO  - Executed action GD.API.Controllers.System.DictionaryController.GetMerchantDictionaryAsync (API) in 38ms
09:22:23 INFO  - Executed action GD.API.Controllers.Merchant.MerchantController.GetBusinessScopeListAsync (API) in 36ms
09:22:23 INFO  - Executed action GD.API.Controllers.Merchant.MerchantController.GetBusinessScopeListAsync (API) in 30ms
09:22:23 INFO  - Executed action GD.API.Controllers.Merchant.MerchantController.GetMerchantPageAsync (API) in 104ms
09:22:27 INFO  - Executed action GD.API.Controllers.Merchant.MerchantController.GetMerchantInfoAsync (API) in 53ms
09:29:36 INFO  - Executed action GD.API.Controllers.System.UserController.GetLoginUserInfoAsync (API) in 244ms
09:29:37 INFO  - Executed action GD.API.Controllers.Merchant.MerchantController.GetMerchantPageAsync (API) in 103ms
09:29:37 INFO  - Executed action GD.API.Controllers.Merchant.MerchantController.GetBusinessScopeListAsync (API) in 99ms
09:29:37 INFO  - Executed action GD.API.Controllers.Merchant.MerchantController.GetHospitalSelectAsync (API) in 127ms
09:29:37 INFO  - Executed action GD.API.Controllers.System.DictionaryController.GetMerchantDictionaryAsync (API) in 96ms
09:29:37 INFO  - Executed action GD.API.Controllers.Merchant.MerchantController.GetBusinessScopeListAsync (API) in 28ms
09:29:38 INFO  - Executed action GD.API.Controllers.Merchant.MerchantController.GetBusinessScopeListAsync (API) in 52ms
09:30:14 INFO  - Executed action GD.API.Controllers.System.UserController.GetLoginUserInfoAsync (API) in 196ms
09:30:27 INFO  - Executed action GD.API.Controllers.System.UserController.GetLoginUserInfoAsync (API) in 194ms
09:30:27 INFO  - Executed action GD.API.Controllers.System.HomeController.GetMerchantQtyAsync (API) in 30ms
09:30:27 INFO  - Executed action GD.API.Controllers.System.HomeController.GetUserQtyAsync (API) in 23ms
09:30:27 INFO  - Executed action GD.API.Controllers.System.HomeController.GetOrderQtyAsync (API) in 26ms
09:30:27 INFO  - Executed action GD.API.Controllers.System.HomeController.GetDoctorsQtyAsync (API) in 29ms
09:30:32 INFO  - Executed action GD.API.Controllers.Merchant.MerchantController.GetBusinessScopeListAsync (API) in 22ms
09:30:32 INFO  - Executed action GD.API.Controllers.Merchant.MerchantController.GetHospitalSelectAsync (API) in 52ms
09:30:32 INFO  - Executed action GD.API.Controllers.Merchant.MerchantController.GetMerchantPageAsync (API) in 96ms
09:30:32 INFO  - Executed action GD.API.Controllers.System.DictionaryController.GetMerchantDictionaryAsync (API) in 52ms
09:30:32 INFO  - Executed action GD.API.Controllers.Merchant.MerchantController.GetBusinessScopeListAsync (API) in 26ms
09:30:33 INFO  - Executed action GD.API.Controllers.Merchant.MerchantController.GetBusinessScopeListAsync (API) in 28ms
09:31:39 INFO  - Executed action GD.API.Controllers.Merchant.MerchantController.GetBusinessScopeListAsync (API) in 29ms
09:35:37 INFO  - Executed action GD.API.Controllers.System.UserController.GetLoginUserInfoAsync (API) in 194ms
09:35:38 INFO  - Executed action GD.API.Controllers.Merchant.MerchantController.GetHospitalSelectAsync (API) in 30ms
09:35:38 INFO  - Executed action GD.API.Controllers.Merchant.MerchantController.GetMerchantPageAsync (API) in 67ms
09:35:38 INFO  - Executed action GD.API.Controllers.Merchant.MerchantController.GetBusinessScopeListAsync (API) in 33ms
09:35:38 INFO  - Executed action GD.API.Controllers.System.DictionaryController.GetMerchantDictionaryAsync (API) in 42ms
09:35:38 INFO  - Executed action GD.API.Controllers.Merchant.MerchantController.GetBusinessScopeListAsync (API) in 28ms
09:35:38 INFO  - Executed action GD.API.Controllers.Merchant.MerchantController.GetBusinessScopeListAsync (API) in 28ms
10:52:47 INFO  - Executed action GD.API.Controllers.System.UserController.GetLoginUserInfoAsync (API) in 323ms
10:52:48 INFO  - Executed action GD.API.Controllers.Merchant.MerchantController.GetBusinessScopeListAsync (API) in 38ms
10:52:48 INFO  - Executed action GD.API.Controllers.System.DictionaryController.GetMerchantDictionaryAsync (API) in 38ms
10:52:48 INFO  - Executed action GD.API.Controllers.Merchant.MerchantController.GetHospitalSelectAsync (API) in 28ms
10:52:48 INFO  - Executed action GD.API.Controllers.Merchant.MerchantController.GetMerchantPageAsync (API) in 157ms
10:52:48 INFO  - Executed action GD.API.Controllers.Merchant.MerchantController.GetBusinessScopeListAsync (API) in 112ms
