10:57:47 INFO  - Executed action GD.API.Controllers.Utility.AccountController.LoginAdmin (API) in 926ms
10:57:48 INFO  - Executed action GD.API.Controllers.System.UserController.GetLoginUserInfoAsync (API) in 733ms
10:57:48 INFO  - Executed action GD.API.Controllers.System.HomeController.GetUserQtyAsync (API) in 35ms
10:57:48 INFO  - Executed action GD.API.Controllers.System.HomeController.GetOrderQtyAsync (API) in 24ms
10:57:48 INFO  - Executed action GD.API.Controllers.System.HomeController.GetDoctorsQtyAsync (API) in 120ms
10:57:48 INFO  - Executed action GD.API.Controllers.System.HomeController.GetMerchantQtyAsync (API) in 133ms
11:10:24 INFO  - Executed action GD.API.Controllers.System.UserController.GetLoginUserInfoAsync (API) in 171ms
11:10:24 INFO  - Executed action GD.API.Controllers.Merchant.MerchantController.GetHospitalSelectAsync (API) in 43ms
11:10:24 INFO  - Executed action GD.API.Controllers.Merchant.MerchantController.GetMerchantPageAsync (API) in 184ms
11:10:27 INFO  - Executed action GD.API.Controllers.System.DictionaryController.GetMerchantDictionaryAsync (API) in 2558ms
11:10:27 INFO  - Executed action GD.API.Controllers.Merchant.MerchantController.GetBusinessScopeListAsync (API) in 2626ms
11:10:37 INFO  - Executed action GD.API.Controllers.Utility.ArticleController.GetArticleTypeAsync (API) in 21ms
11:10:37 INFO  - Executed action GD.API.Controllers.Utility.ArticleController.GetArticleListAsync (API) in 135ms
11:10:52 INFO  - Executed action GD.API.Controllers.Utility.ArticleController.GetArticleInfoAsync (API) in 111ms
11:12:36 INFO  - Executed action GD.API.Controllers.Manager.RecommendController.GetRecommendPageAsync (API) in 70ms
11:13:18 INFO  - Executed action GD.API.Controllers.Manager.RecommendController.GetRecommendArticleListAsync (API) in 90ms
11:41:59 INFO  - Executed action GD.API.Controllers.System.UserController.GetLoginUserInfoAsync (API) in 171ms
11:41:59 INFO  - Executed action GD.API.Controllers.Faqs.FaqsController.SearchFaqsQuestionAsync (API) in 128ms
11:41:59 INFO  - Executed action GD.API.Controllers.System.DictionaryController.GetFaqsSettingTypeAsync (API) in 38ms
11:42:36 INFO  - Executed action GD.API.Controllers.System.UserController.GetLoginUserInfoAsync (API) in 138ms
11:42:37 INFO  - Executed action GD.API.Controllers.Manager.RecommendController.GetRecommendPageAsync (API) in 47ms
11:44:07 INFO  - Executed action GD.API.Controllers.Doctor.HospitalController.GetHospitalAllSelectAsync (API) in 87ms
11:44:07 INFO  - Executed action GD.API.Controllers.Doctor.DoctorController.GetDoctorCertificateDetailAsync (API) in 36ms
11:44:07 INFO  - Executed action GD.API.Controllers.Doctor.DoctorController.GetDoctorJobTitlesAsync (API) in 95ms
11:44:07 INFO  - Executed action GD.API.Controllers.Doctor.DoctorController.GetDoctorPageAsync (API) in 210ms
11:45:23 INFO  - Executed action GD.API.Controllers.System.UserController.GetLoginUserInfoAsync (API) in 154ms
11:45:24 INFO  - Executed action GD.API.Controllers.Doctor.HospitalController.GetHospitalAllSelectAsync (API) in 59ms
11:45:24 INFO  - Executed action GD.API.Controllers.Doctor.DoctorController.GetDoctorJobTitlesAsync (API) in 62ms
11:45:24 INFO  - Executed action GD.API.Controllers.Doctor.DoctorController.GetDoctorCertificateDetailAsync (API) in 21ms
11:45:24 INFO  - Executed action GD.API.Controllers.Doctor.DoctorController.GetDoctorPageAsync (API) in 100ms
11:45:42 INFO  - Executed action GD.API.Controllers.Doctor.DoctorController.GetDoctorPageAsync (API) in 115ms
11:45:44 INFO  - Executed action GD.API.Controllers.Doctor.DoctorController.GetDoctorPageAsync (API) in 90ms
11:45:47 INFO  - Executed action GD.API.Controllers.Doctor.DoctorController.GetDoctorPageAsync (API) in 88ms
16:10:29 INFO  - Executed action GD.API.Controllers.System.UserController.GetLoginUserInfoAsync (API) in 380ms
16:10:29 INFO  - Executed action GD.API.Controllers.System.HomeController.GetUserQtyAsync (API) in 30ms
16:10:29 INFO  - Executed action GD.API.Controllers.System.HomeController.GetOrderQtyAsync (API) in 68ms
16:10:29 INFO  - Executed action GD.API.Controllers.System.HomeController.GetMerchantQtyAsync (API) in 66ms
16:10:29 INFO  - Executed action GD.API.Controllers.System.HomeController.GetDoctorsQtyAsync (API) in 93ms
16:26:29 INFO  - Executed action GD.API.Controllers.Merchant.MerchantController.GetHospitalSelectAsync (API) in 143ms
16:26:29 INFO  - Executed action GD.API.Controllers.System.DictionaryController.GetMerchantDictionaryAsync (API) in 180ms
16:26:29 INFO  - Executed action GD.API.Controllers.Merchant.MerchantController.GetMerchantPageAsync (API) in 62ms
16:26:29 INFO  - Executed action GD.API.Controllers.Merchant.MerchantController.GetBusinessScopeListAsync (API) in 153ms
