16:15:34 INFO  - Executed action GD.API.Controllers.Utility.AccountController.GetWeChatMobileConfig (API) in 41ms
16:49:30 INFO  - Executed action GD.API.Controllers.Utility.AccountController.LoginAdmin (API) in 950ms
16:49:31 INFO  - Executed action GD.API.Controllers.System.UserController.GetLoginUserInfoAsync (API) in 688ms
16:49:31 INFO  - Executed action GD.API.Controllers.System.HomeController.GetOrderQtyAsync (API) in 52ms
16:49:31 INFO  - Executed action GD.API.Controllers.System.HomeController.GetMerchantQtyAsync (API) in 136ms
16:49:31 INFO  - Executed action GD.API.Controllers.System.HomeController.GetUserQtyAsync (API) in 145ms
16:49:31 INFO  - Executed action GD.API.Controllers.System.HomeController.GetDoctorsQtyAsync (API) in 127ms
16:52:34 INFO  - Executed action GD.API.Controllers.System.UserController.GetLoginUserInfoAsync (API) in 263ms
16:52:35 INFO  - Executed action GD.API.Controllers.System.HomeController.GetOrderQtyAsync (API) in 37ms
16:52:35 INFO  - Executed action GD.API.Controllers.System.HomeController.GetUserQtyAsync (API) in 38ms
16:52:35 INFO  - Executed action GD.API.Controllers.System.HomeController.GetMerchantQtyAsync (API) in 58ms
16:52:35 INFO  - Executed action GD.API.Controllers.System.HomeController.GetDoctorsQtyAsync (API) in 37ms
16:53:25 INFO  - Executed action GD.API.Controllers.System.UserController.GetLoginUserInfoAsync (API) in 258ms
16:53:25 INFO  - Executed action GD.API.Controllers.System.HomeController.GetMerchantQtyAsync (API) in 47ms
16:53:25 INFO  - Executed action GD.API.Controllers.System.HomeController.GetDoctorsQtyAsync (API) in 41ms
16:53:25 INFO  - Executed action GD.API.Controllers.System.HomeController.GetUserQtyAsync (API) in 44ms
16:53:25 INFO  - Executed action GD.API.Controllers.System.HomeController.GetOrderQtyAsync (API) in 78ms
16:53:59 INFO  - Executed action GD.API.Controllers.System.UserController.GetLoginUserInfoAsync (API) in 242ms
16:54:00 INFO  - Executed action GD.API.Controllers.System.HomeController.GetDoctorsQtyAsync (API) in 76ms
16:54:00 INFO  - Executed action GD.API.Controllers.System.HomeController.GetUserQtyAsync (API) in 37ms
16:54:00 INFO  - Executed action GD.API.Controllers.System.HomeController.GetMerchantQtyAsync (API) in 36ms
16:54:00 INFO  - Executed action GD.API.Controllers.System.HomeController.GetOrderQtyAsync (API) in 39ms
16:54:15 INFO  - Executed action GD.API.Controllers.Utility.AccountController.LoginAdmin (API) in 33ms
16:54:20 INFO  - Executed action GD.API.Controllers.Utility.AccountController.LoginAdmin (API) in 35ms
16:54:20 INFO  - Executed action GD.API.Controllers.System.UserController.GetLoginUserInfoAsync (API) in 230ms
16:54:20 INFO  - Executed action GD.API.Controllers.System.HomeController.GetOrderQtyAsync (API) in 60ms
16:54:20 INFO  - Executed action GD.API.Controllers.System.HomeController.GetMerchantQtyAsync (API) in 47ms
16:54:20 INFO  - Executed action GD.API.Controllers.System.HomeController.GetUserQtyAsync (API) in 42ms
16:54:20 INFO  - Executed action GD.API.Controllers.System.HomeController.GetDoctorsQtyAsync (API) in 39ms
16:54:41 INFO  - Executed action GD.API.Controllers.DataBoard.DataBoardController.GetDayWeChatDetailAsync (API) in 157ms
